INLINE MagCharTable,Base Magic,Magic Growth
None,0,0
Eirika,0,25
Seth,6,60
Gilliam,10,75
Franz,4,50
Moulder,0,5
Vanessa,2,25
Ross,0,5
Neimi,7,55
Colm,7,40
Garcia,0,5
Innes,1,10
Lute,5,65
Natasha,1,60
Cormag,0,5
Ephraim,0,15
Forde,1,10
Kyle,0,10
Amelia,2,25
Artur,5,50
Gerik,0,10
Tethys,0,5
Marisa,1,10
Saleh,11,30
Ewan,2,45
L'Arachel,5,50
Dozla,0,5
+AC0-0,0,50
Rennac,3,35
Duessel,0,5
Myrrh,2,85
Knoll,10,50
Joshua,0,20
Syrene,4,20
Tana,2,15
Lyon,13,50
Orson,3,10
Glen,2,0
Selena,10,40
Valter,2,10
Riev,10,45
Caellach,2,5
Fado,4,5
Ismaire,7,15
Hayden,2,10
FakeEirika,0,0
0x2E,0,0
0x2F,0,0
0x30,0,0
0x31,0,0
0x32,0,0
0x33,0,0
0x34,0,0
0x35,0,0
0x36,0,0
0x37,0,0
0x38,0,0
0x39,0,0
0x3A,0,0
Lyon's Summon,0,0
0x3B,0,0
0x3C,0,0
Knoll's Summon,0,0
Ewan's Summon,0,0
Lyon (Ch 17),13,50
Morva (Ch 20),6,85
Orson (Ch 5x),3,10
Valter (Ch 15),2,5
Selena (Ch 10B +ACY- 13B),10,40
Valter (Prologue),2,5
Breguet (Ch 1),0,5
Bone (Ch 2),8,30
Bazba (Ch 3),1,10
Entombed (Ch 4),1,5
Saar (Ch 5),1,5
Novala (Ch 6),8,50
Murray (Ch 7),2,5
Tirado (Ch 8),3,15
Binks (Ch 9A),2,10
Pablo (Ch 10A),8,50
Maelduin (Ch 12A),2,10
Aias (Ch 13A),2,5
Carlyle (Ch 14A),5,30
Caellach (Ch 15),3,5
Pablo (Ch 13A),8,50
0x50 Enemy,0,0
Gorgon (Ch 18),10,65
Riev (Ch 19 +ACY- 20),10,45
0,0,0
0,0,0
Gheb (Ch 9B),2,5
Beran (Ch 10B),3,15
Cyclops (Ch 12B),2,5
Wight (Ch 11A),2,5
Deathgoyle (Ch 11B),3,5
Entombed (Monster Boss),3,5
0x60 Enemy,0,0
0x61 Enemy,0,0
0x62 Enemy,0,0
0x63,0,0
Hunter (Ch 16),3,10
+AC0-0,0,0
Brigand,0,0
0,0,0
O'Neill (Prologue),0,5
Glen (Cutscene),0,0
Zonta (Ch 5x),1,5
Vigarde (Ch 14B),5,15
Lyon (Ch Final),20,20
Orson (Ch 16),3,5
0x6E Saboteurs 1,3,40
0x6F Enemy,0,0
0x70,0,0
0x71,0,0
0x72,0,0
0x73,0,0
0x74,0,0
0x75,0,0
0x76 Saboteurs5,0,0
0x77,0,0
0x78,0,0
0x79,0,0
0x7A,0,0
0x7B,0,0
0x7C,0,0
0x7D Saboteurs6,0,0
0x7E Saboteurs4,3,40
0x7F Grado Soldier (Special),0,0
0x80 Cutthroat,0,0
Grado Soldier 2,0,0
0x82 Saboteurs2,3,40
Grado Soldier 4,0,0
Grado Soldier 5,0,0
Grado Soldier 6,0,0
Grado Soldier 7,0,0
Grado Soldier 8,0,0
Grado Soldier 9,0,0
Grado Soldier 10 (Duessel's),0,0
Grado Soldier 11 (Duessel's),0,0
Grado Soldier 12 (Duessel's),0,0
Grado Soldier 13,0,0
0x8D CityGuardFighter,0,0
0x8E Saboteurs3,0,0
Grado Remnant 2 (Cutscene and C16 only?),0,0
Grado Remnant 3 (C16 only?),0,0
Grado Remnant 4 (C16 only?),0,0
Wraith (Sage),0,0
Wraith (Swords),0,0
Wraith (Axes),0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
Mercenary (C9A),0,0
Mercenary (C10A),0,0
Merc Remnant (C13A),0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Monster,0,0
Demon King,0,0
0,0,0
Frelian,0,0
Frelian,0,0
0,0,0
0,0,0
0,0,0
Fado (Renais),0,0
0,0,0
Hayden (Frelia),0,0
Mansel (Rausten),0,0
Klimt (Carcino),0,0
Dara (Caer Pelyn),0,0
Ismaire (Jehanna),0,0
Pegasus Messenger,0,0
Rausten Knight,0,0
Rausten Knight,0,0
(Untested Beyond this point),0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
